collection,sourceFile,primaryType,fields,foreignKeys,relatedSourceFiles
report_exports,src/lib/data/report-exports.ts,ReportExport,"id:string|companyId:string|userId:string|userEmail:string | null|reportType:string|format:string|status:ReportExportStatus|filters:Record<string, unknown>|createdAt:Date",companyId->companies|userId->users,src/lib/data/report-exports.ts
sales_credit_notes,src/lib/data/credit-notes.ts,CreditNote,id:string|companyId:string|invoiceId:string|invoiceNumber:string|customerId:string|customerName:string|creditNumber:string|status:CreditNoteStatus|issueDate:string|currency:string|notes:string | null|reason:string | null|subtotal:number|discountTotal:number|taxTotal:number|total:number|refundedAmount:number|lines:CreditNoteLine[]|journalEntryId:string | null|createdAt:Date,companyId->companies|invoiceId->sales_invoices|customerId->customers|journalEntryId->journal_entrys (inferred),src/lib/data/credit-notes.ts
sales_invoices,src/lib/data/sales-invoices.ts,SalesInvoice,id:string|companyId:string|customerId:string|customerName:string|customerVatNumber:string|billingAddress:string|invoiceNumber:string|status:InvoiceStatus|invoiceDate:string|dueDate:string|currency:string|paymentTermId:string | null|notes:string | null|terms:string | null|subtotal:number|discountTotal:number|taxTotal:number|total:number|amountPaid:number|amountCredited:number|balance:number|lines:InvoiceLine[]|openItemId:string | null|journalEntryId:string | null|sentAt:string | null|sentTo:string | null|approvedAt:string | null|createdAt:Date,companyId->companies|customerId->customers|paymentTermId->payment_terms|openItemId->open_items|journalEntryId->journal_entrys (inferred),src/lib/data/kpis.ts|src/lib/data/sales-invoices.ts|src/lib/data/system-metrics.ts
subscriptions,src/lib/data/subscriptions.ts,SubscriptionRecord,id:string|companyId:string|planId:string|status:SubscriptionStatus|billingCycle:BillingCycle|trialEndsAt:Date | null|currentPeriodStart:string|currentPeriodEnd:string|cancelAtPeriodEnd:boolean|canceledAt:Date | null|createdAt:Date,companyId->companies|planId->plans (inferred),src/lib/data/kpis.ts|src/lib/data/subscriptions.ts|src/lib/data/system-metrics.ts
support_tickets,src/lib/data/support-tickets.ts,SupportTicket,id:string|companyId:string|userId:string|userEmail:string | null|subject:string|category:SupportTicketCategory|priority:SupportTicketPriority|message:string|status:SupportTicketStatus|locale:string | null|createdAt:Date|updatedAt:Date,companyId->companies|userId->users,src/lib/data/kpis.ts|src/lib/data/support-tickets.ts
system_admins,src/lib/data/system-admins.ts,SystemAdminRecord,id:string|userId:string|email:string|name:string|role:SystemAdminRole|mfaVerifiedAt:Date | null|createdAt:Date|updatedAt:Date,userId->users,src/lib/data/system-admins.ts
system_alerts,src/lib/data/system-alerts.ts,SystemAlert,"id:string|title:string|message:string|type:string|severity:SystemAlertSeverity|status:SystemAlertStatus|source:string|entityId:string | null|metadata:Record<string, unknown>|createdAt:Date|updatedAt:Date|resolvedAt:Date | null|resolvedBy:string | null",entityId->entitys (inferred),src/lib/data/system-alerts.ts
system_jobs,src/lib/data/system-jobs.ts,SystemJob,id:string|name:string|category:string|status:SystemJobStatus|lastRunAt:Date | null|lastSuccessAt:Date | null|lastError:string | null|createdAt:Date|updatedAt:Date,,src/lib/data/system-jobs.ts
tax_categories,src/lib/data/tax-categories.ts,TaxCategory,"id:string|companyId:string|name:string|rate:number|type:""standard"" | ""zero"" | ""exempt""|status:""active"" | ""inactive""|createdAt:Date",companyId->companies,src/lib/data/tax-categories.ts
telemetry_events,src/lib/data/telemetry.ts,TelemetryEvent,"id:string|name:string|companyId:string | null|userId:string | null|metadata:Record<string, unknown>|createdAt:Date",companyId->companies|userId->users,src/lib/data/kpis.ts|src/lib/data/telemetry.ts
user_security,src/lib/data/user-security.ts,UserSecurityRecord,userId:string|mfaEnabled:boolean|mfaSecret:string | null|mfaTempSecret:string | null|mfaEnrolledAt:Date | null|lastLoginAt:Date | null|lastLoginIp:string | null,userId->users,src/lib/data/user-security.ts
users,src/lib/data/users.ts,UserRecord,"id:string|email:string|name:string|passwordHash:string|status:""active"" | ""invited""|createdAt:Date",,src/lib/data/system-metrics.ts|src/lib/data/users.ts
vat_adjustments,src/lib/data/vat-adjustments.ts,VatAdjustment,id:string|companyId:string|periodId:string|type:VatAdjustmentType|amount:number|reason:string|createdBy:string | null|createdByEmail:string | null|createdAt:Date,companyId->companies|periodId->periods (inferred),src/lib/data/vat-adjustments.ts
vat_periods,src/lib/data/vat-periods.ts,VatPeriod,"id:string|companyId:string|name:string|startDate:string|endDate:string|frequency:PeriodFrequency|status:VatPeriodStatus|filedAt:Date|filedBy:string | null|filedSummary:Record<string, unknown> | null|createdAt:Date",companyId->companies,src/lib/data/vat-periods.ts
vendor_credit_notes,src/lib/data/vendor-credit-notes.ts,VendorCreditNote,id:string|companyId:string|billId:string|billNumber:string|vendorId:string|vendorName:string|creditNumber:string|status:VendorCreditNoteStatus|issueDate:string|currency:string|notes:string | null|reason:string | null|subtotal:number|discountTotal:number|taxTotal:number|total:number|lines:VendorCreditNoteLine[]|journalEntryId:string | null|createdAt:Date,companyId->companies|billId->purchase_bills|vendorId->vendors|journalEntryId->journal_entrys (inferred),src/lib/data/vendor-credit-notes.ts
vendor_payments,src/lib/data/vendor-payments.ts,VendorPayment,id:string|companyId:string|paymentNumber:string|paymentDate:string|vendorId:string|vendorName:string|method:string|accountId:string|reference:string | null|currency:string|totalAmount:number|appliedAmount:number|unappliedAmount:number|allocations:VendorPaymentAllocation[]|journalEntryId:string | null|createdAt:Date,companyId->companies|vendorId->vendors|accountId->chart_accounts|journalEntryId->journal_entrys (inferred),src/lib/data/vendor-payments.ts
vendors,src/lib/data/vendors.ts,VendorRecord,id:string|companyId:string|name:string|legalName:string|vatRegistered:boolean|vatNumber:string|crNumber:string|email:string|phone:string|remittanceAddress:string|paymentTermId:string | null|preferredPaymentMethod:string|currency:string|notes:string|tags:string[]|status:VendorStatus|createdAt:Date,companyId->companies|paymentTermId->payment_terms,src/lib/data/vendors.ts
zatca_artifacts,src/lib/data/zatca-artifacts.ts,ZatcaArtifact,"id:string|companyId:string|invoiceId:string|uuid:string|hash:string|qr:string|payload:Record<string, unknown>|createdAt:Date",companyId->companies|invoiceId->sales_invoices,src/lib/data/zatca-artifacts.ts
